,cost,reduced_scenario,probability
199,74492767.97205889,221.0,0.0
200,75373269.61201456,132.0,0.0
201,74641809.0158573,344.0,0.0
202,75201399.77603692,122.0,0.0
203,74929631.90019384,261.0,0.0
204,75229402.93672052,122.0,0.0
205,75429255.88928661,132.0,0.0
206,75464689.52945338,132.0,0.0
207,74849975.87300093,141.0,0.0
208,75066230.7935231,456.0,0.0
209,75211402.74459279,122.0,0.0
210,75076435.17759138,456.0,0.0
211,74663931.81043291,344.0,0.0
212,75526893.78740251,436.0,0.0
213,74938322.43627599,261.0,0.0
214,75658316.46048737,313.0,0.0
215,75614123.42322756,313.0,0.0
216,75163282.85579285,122.0,0.0
217,74180810.1484562,229.0,0.0
218,75341737.77874845,275.0,0.0
219,75261083.56413054,275.0,0.0
220,75564005.42437176,436.0,0.0
221,74576184.07806718,221.0,0.052000000000000005
222,75214698.818004,122.0,0.0
223,75439205.56663004,132.0,0.0
224,75575845.95033965,313.0,0.0
225,75313045.02856183,275.0,0.0
226,74707425.05622849,344.0,0.0
227,75502383.77775048,436.0,0.0
228,75496737.63018413,436.0,0.0
229,74238987.18624474,229.0,0.014
230,74948269.23573044,261.0,0.0
231,74701089.03636757,344.0,0.0
232,75801631.90053265,285.0,0.0
233,75725927.97614719,97.0,0.0
234,75179198.56564812,122.0,0.0
235,75053254.25897028,456.0,0.0
236,75948558.68360017,342.0,0.0
237,75046880.73333016,167.0,0.0
238,75066992.77994269,456.0,0.0
239,74611827.37074144,221.0,0.0
240,75983645.18661325,342.0,0.0
241,75136896.17926735,456.0,0.0
242,75127582.43894611,456.0,0.0
243,74569168.26497376,221.0,0.0
244,75084359.0283654,456.0,0.0
245,74871403.8209902,261.0,0.0
246,74585257.53503689,221.0,0.0
247,75104076.83647053,456.0,0.0
248,75447126.33585402,132.0,0.0
249,76344857.79821289,299.0,0.0
250,75185891.17775433,122.0,0.0
251,75123485.56435664,456.0,0.0
252,75078088.24357033,456.0,0.0
253,74568663.19646855,221.0,0.0
254,74628353.2948295,221.0,0.0
255,75617732.80765668,313.0,0.0
256,75306101.24946491,275.0,0.0
257,74312596.34078653,229.0,0.0
258,75681257.5605646,97.0,0.0
259,74753625.72443609,141.0,0.0
260,74672244.92745492,344.0,0.0
261,74925358.33338185,261.0,0.07600000000000001
262,74737825.22386377,344.0,0.0
263,75606999.11036412,313.0,0.0
264,75422524.47684866,132.0,0.0
265,75330048.82899971,275.0,0.0
266,75432264.39356309,132.0,0.0
267,74456734.04159597,221.0,0.0
268,74800309.14797449,141.0,0.0
269,75041676.27198988,167.0,0.0
270,75451508.28009768,132.0,0.0
271,75002971.78186014,167.0,0.0
272,75209461.85804693,122.0,0.0
273,75851094.80608287,285.0,0.0
274,75157439.65220219,122.0,0.0
275,75307125.98333208,275.0,0.10200000000000001
276,75218373.07659438,122.0,0.0
277,75505300.81297386,436.0,0.0
278,75409649.92302617,132.0,0.0
279,75344946.10649467,275.0,0.0
280,74746513.96691456,141.0,0.0
281,75280902.72309129,275.0,0.0
282,75797681.56218255,285.0,0.0
283,75895887.36817823,342.0,0.0
284,74551742.75184092,221.0,0.0
285,75809310.86577079,285.0,0.034
286,74441758.8133112,221.0,0.0
287,75286263.51562667,275.0,0.0
288,75310768.9255758,275.0,0.0
289,75095317.41800214,456.0,0.0
290,75418052.76303191,132.0,0.0
291,75235857.45522869,122.0,0.0
292,75227954.79165547,122.0,0.0
293,75523066.0697079,436.0,0.0
294,74559030.00253762,221.0,0.0
295,75496781.63285254,436.0,0.0
296,74506428.6884957,221.0,0.0
297,74752513.63826887,141.0,0.0
298,75636412.81998274,313.0,0.0
299,76277491.11269806,299.0,0.018000000000000002
300,75306972.67734598,275.0,0.0
301,75866820.47955821,285.0,0.0
302,74521066.5565813,221.0,0.0
303,75956197.47172053,342.0,0.0
304,75134148.0370274,456.0,0.0
305,75301023.88266924,275.0,0.0
306,75203810.90866417,122.0,0.0
307,74697569.46306726,344.0,0.0
308,75069674.70309404,456.0,0.0
309,75956928.96065731,342.0,0.0
310,75373199.31797214,132.0,0.0
311,74743791.72348335,344.0,0.0
312,74769198.59274943,141.0,0.0
313,75616017.3350275,313.0,0.06000000000000001
314,75501778.27142417,436.0,0.0
315,74920382.26668856,261.0,0.0
316,75561063.77358519,436.0,0.0
317,75033394.20832378,167.0,0.0
318,75695632.95251404,97.0,0.0
319,75078227.76670651,456.0,0.0
320,74998200.54141158,167.0,0.0
321,74898005.25772208,261.0,0.0
322,74944545.9225167,261.0,0.0
323,75433589.76689796,132.0,0.0
324,74994984.07602766,167.0,0.0
325,75166995.33329912,122.0,0.0
326,75745909.25770517,97.0,0.0
327,75710163.42283112,97.0,0.0
328,76340388.54756863,299.0,0.0
329,74949393.01968105,261.0,0.0
330,74814797.24264306,141.0,0.0
331,75285690.2273322,275.0,0.0
332,75464097.55820541,132.0,0.0
333,74925220.36192773,261.0,0.0
334,74636605.66192852,344.0,0.0
335,74765008.96242464,141.0,0.0
336,75556655.07134062,436.0,0.0
337,74838587.07283983,141.0,0.0
338,75112378.43340643,456.0,0.0
339,75312786.70882677,275.0,0.0
340,75756060.05705014,97.0,0.0
341,75235441.69820523,122.0,0.0
342,75939945.26337065,342.0,0.04200000000000001
343,75689867.29377379,97.0,0.0
344,74684680.17043206,344.0,0.06200000000000001
345,75861732.6947286,285.0,0.0
346,75251406.23435803,122.0,0.0
347,75912269.85871665,342.0,0.0
348,75191733.55824712,122.0,0.0
349,74865039.8659947,141.0,0.0
350,75338227.17016545,275.0,0.0
351,75950698.0309532,342.0,0.0
352,75273175.93716094,275.0,0.0
353,75895755.65277183,342.0,0.0
354,74093583.34054276,229.0,0.0
355,74651280.23293144,344.0,0.0
356,75671938.75022516,313.0,0.0
357,75596570.32716924,313.0,0.0
358,75251051.49860416,122.0,0.0
359,75785776.5055054,285.0,0.0
360,74893477.53163575,261.0,0.0
361,75549082.80460076,436.0,0.0
362,75171473.23834264,122.0,0.0
363,74743234.35956362,344.0,0.0
364,75473139.8094553,132.0,0.0
365,75320556.06172077,275.0,0.0
366,74745172.69947055,344.0,0.0
367,75575628.93181291,313.0,0.0
